name;Style/IconStyle/Icon/href;longitude;latitude;municipio__id;municipio;uf
"Mineradora: Vale S A Filial: Vale Itabiritos 
Barragem: Barnabé";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8917777777778;-20.4258333333333;3118007;Congonhas;MG
"Mineradora: Vale S A Filial: Vale Itabiritos 
Barragem: Barnabé 1";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8823333333333;-20.4340277777778;3118007;Congonhas;MG
"Mineradora: Vale S A Filial: Vale Itabiritos 
Barragem: Gambá";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.8828611111111;-20.4313333333333;3118007;Congonhas;MG
"Mineradora: Construtora Martins Lanna Ltda. 
Barragem: Barragem 1 - Dique de Contenção";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.0930844444445;-19.8649361111111;3118601;Contagem;MG
"Mineradora: Construtora Martins Lanna Ltda. 
Barragem: Barragem 2 - Captação de Água";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.1004916666667;-19.8759555555556;3118601;Contagem;MG
"Mineradora: Novelis do Brasil Ltda 
Barragem: SANTA TERESA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-42.8859722222222;-21.4671944444444;3121308;Descoberto;MG
"Mineradora: Mineração Sanguinete Ltda 
Barragem: SANGUINETE";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.7689166666667;-18.0090555555556;3121605;Diamantina;MG
"Mineradora: Extrativa Metalurgia S A 
Barragem: BARRAGEM REJEITOS";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-46.7052777777778;-20.8928611111111;3126307;Fortaleza de Minas;MG
"Mineradora: Minerações Gerais Ltda 
Barragem: GERAIS";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.4114166666667;-19.5824444444444;3126406;Fortuna de Minas;MG
"Mineradora: Mineração Morro do Ipê S.a. 
Barragem: Barragem B1-Auxiliar - Mina Tico-Tico";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.2881944444444;-20.1035277777778;3130101;Igarapé;MG
"Mineradora: Mineração Morro do Ipê S.a. 
Barragem: Barragem B2 - Mina Tico-Tico";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.2866722222222;-20.1104305555556;3130101;Igarapé;MG
"Mineradora: Minerações Gerais Ltda 
Barragem: Gerais II";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.4099305555556;-19.5825972222222;3131000;Inhaúma;MG
"Mineradora: ARCELORMITTAL BRASIL S A 
Barragem: Bacia 01";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.1920277777778;-19.7847222222222;3131703;Itabira;MG
"Mineradora: ARCELORMITTAL BRASIL S A 
Barragem: Bacia 15";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.1910477777778;-19.7763147222222;3131703;Itabira;MG
"Mineradora: Piteiras Mineração Ltda. 
Barragem: Piteiras";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.1128611111111;-19.6923611111111;3131703;Itabira;MG
"Mineradora: Vale S A Filial: Vale Itabira 
Barragem: Alcindo Vieira";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.2462855555556;-19.5745088888889;3131703;Itabira;MG
"Mineradora: Vale S A Filial: Vale Itabira 
Barragem: Borrachudo";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.2633825;-19.60931;3131703;Itabira;MG
